GPL_ID	PROBE_ID	GENE_SYMBOL	GENE_ID	ORGANISM
Agi_Affy_HuEX_U133A	AFF4	AFF4	27125	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AFG3L2	AFG3L2	10939	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AFM	AFM	173	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AFP	AFP	174	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AFTPH	AFTPH	54812	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGA	AGA	175	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGBL2	AGBL2	79841	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGBL5	AGBL5	60509	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGER	AGER	177	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGGF1	AGGF1	55109	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGK	AGK	55750	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGL	AGL	178	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGPAT1	AGPAT1	10554	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGPAT2	AGPAT2	10555	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGPAT3	AGPAT3	56894	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGPAT4	AGPAT4	56895	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGPAT5	AGPAT5	55326	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGPAT7	AGPAT7		HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGPS	AGPS	8540	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGR2	AGR2	10551	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGRN	AGRN	375790	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGRP	AGRP	181	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGT	AGT	183	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGTPBP1	AGTPBP1	23287	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGTR1	AGTR1	185	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGTR2	AGTR2	186	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGTRL1	AGTRL1		HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGXT	AGXT	189	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AGXT2L1	AGXT2L1	64850	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AHCTF1	AHCTF1	25909	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AHCY	AHCY	191	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AHCYL1	AHCYL1	10768	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AHDC1	AHDC1	27245	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AHI1	AHI1	54806	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AHNAK	AHNAK	79026	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AHNAK2	AHNAK2	113146	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AHR	AHR	196	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AHSA1	AHSA1	10598	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AHSG	AHSG	197	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AICDA	AICDA	57379	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AIF1	AIF1	199	HOMO_SAPIENS
