study_id	site_id	subject_id	sample_id	PLATFORM	TISSUETYPE	ATTR1	ATTR2	category_cd
TCGA_Colorectal_190712		TCGA-AA-A00F	TCGA-AA-A00F-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A00J	TCGA-AA-A00J-01A-02R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A00K	TCGA-AA-A00K-01A-02R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A00L	TCGA-AA-A00L-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A00Q	TCGA-AA-A00Q-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A00R	TCGA-AA-A00R-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A00U	TCGA-AA-A00U-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A00W	TCGA-AA-A00W-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A00Z	TCGA-AA-A00Z-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A01F	TCGA-AA-A01F-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A01G	TCGA-AA-A01G-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A01Q	TCGA-AA-A01Q-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A002	TCGA-AG-A002-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A008	TCGA-AG-A008-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A00C	TCGA-AG-A00C-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A00Y	TCGA-AG-A00Y-01A-02R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A011	TCGA-AG-A011-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A014	TCGA-AG-A014-01A-02R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A015	TCGA-AG-A015-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A016	TCGA-AG-A016-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A01L	TCGA-AG-A01L-01A-01R-A002-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
